"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2000-04-14,2000,"Before","0-12","F2",7.4,0.54,3.4,2.3,25,8,463,900,239,162,3.2,82.5,62.3,3.5,0.9,8.4,"Sodium"
2000-04-14,2000,"Before","13-24","F2",7.3,0.48,1.3,4.2,7,7,108,1020,231,197,1.3,56.6,56.4,3,0.6,8.2,"Sodium"
2000-04-14,2000,"Before","25-36","F2",7.1,0.58,0.5,1.2,4,18,41,1430,493,94,0.1,25.7,37.6,1.5,0.6,11.8,"Sodium"
2001-08-03,2001,"During","0-12","F2",7.6,0.46,3.6,5.1,39,10,683,980,245,276,3.4,80,41,3.5,0.8,9.9,"Sodium"
2001-08-03,2001,"During","13-24","F2",7.9,0.56,0.5,7.8,3,13,215,1640,467,346,0.4,34.4,32.8,1.5,0.7,14.1,"Sodium"
2001-08-03,2001,"During","25-36","F2",8,0.4,0.5,3.6,4,9,161,1770,410,548,0.6,43.3,34.3,2.2,0.8,15.1,"Sodium"
2001-08-03,2001,"During","37-48","F2",8.1,0.4,1.3,4.1,12,7,289,1140,259,461,1.1,67.3,42,3.1,0.8,10.6,"Sodium"
2001-06-21,2001,"Before","0-12","F2",7.1,0.76,2.6,78,44,11,740,930,281,307,3.5,73.5,39.2,4.5,0.8,10.2,"Sodium"
2001-06-21,2001,"Before","13-24","F2",7.5,0.64,1.2,37,15,7,410,1290,259,498,1.3,50,46.4,2.7,0.8,11.8,"Sodium"
2001-06-21,2001,"Before","25-36","F2",7.5,0.48,0.9,24,10,10,261,1600,325,517,0.8,41.5,41.1,2.2,0.7,13.6,"Sodium"
2001-06-21,2001,"Before","37-48","F2",7.4,0.6,0.6,16,6,11,181,1700,377,471,0.4,35.8,37.6,1.7,0.7,14.2,"Sodium"
2001-10-18,2001,"During","0-12","F2",7.5,0.78,3.6,5.4,42,15,770,830,249,303,3.6,65.4,38.1,3,0.8,9.5,"Sodium"
2002-04-12,2002,"Before","0-12","F2",8.2,0.66,2.1,12.7,27,11,557,920,232,531,3.4,67.2,32.1,3.9,0.8,,"Sodium"
2002-04-12,2002,"Before","13-24","F2",8.2,0.48,0.9,11.8,9,12,235,1030,248,693,1.1,34.7,23.9,2.6,1.1,,"Sodium"
2002-04-12,2002,"Before","25-36","F2",8.3,0.54,0.6,6.4,3,13,100,1400,412,588,0.4,18,14.6,1.6,0.5,,"Sodium"
2002-04-12,2002,"Before","37-48","F2",8.2,0.54,0.5,5.4,3,11,72,1510,494,490,0.2,16.6,13.9,1.4,0.9,14,"Sodium"
2002-08-15,2002,"During","0-12","F2",6.9,0.82,3.1,41.7,24,13,486,1890,203,483,5.6,76,19.9,2.7,1.2,14.5,"Sodium"
2002-08-15,2002,"During","13-24","F2",7.6,0.64,1,14.8,10,17,196,1270,349,466,0.8,38.1,12.5,2.1,1.4,11.8,"Sodium"
2002-08-15,2002,"During","25-36","F2",7.6,0.66,0.3,5.3,3,29,66,1500,539,276,0.5,20.3,8.4,1,1.7,13.4,"Sodium"
2002-06-15,2002,"Before","0-12","F2",7.7,0.5,0.3,18.8,8,23,229,940,236,632,0.7,69.8,27.9,3.2,1.7,,"Sodium"
2002-06-15,2002,"Before","13-24","F2",8.1,0.72,0.5,43.6,11,10,174,990,228,536,1,26.4,15.9,2.2,1.4,,"Sodium"
2002-06-15,2002,"Before","25-36","F2",8.3,0.48,0.1,13.6,6,8,49,960,290,475,0.5,17.4,14.5,1.7,1.6,9.4,"Sodium"
