"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42150","042700","310492","","123326","1","","4/27/2000","5/3/2000","PCP","","S1-5-1: 0-12","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.4","","","","N","0.54","3.4","2.3","8","","","","","8","","","25","","","","8","463","900","239","162","3.2","82.5","62.3","3.5","0.9","8.4","100","0","51","24","14","11","","","","9.36","11","1.2","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310493","","123327","1","","4/27/2000","5/3/2000","PCP","","S1-5-2: 13-24","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","13-24","","","7.3","","","","N","0.48","1.3","4.2","14","","","","","14","","","7","","","","7","108","1020","231","197","1.3","56.6","56.4","3.0","0.6","8.2","100","0","60","24","3","13","","","","11.30","13","0","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310494","","123328","1","","4/27/2000","5/3/2000","PCP","","S1-5-3: 25-36","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","25-36","","","7.1","","","","N","0.58","0.5","1.2","4","","","","","4","","","4","","","","18","41","1430","493","94","0.1","25.7","37.6","1.5","0.6","11.8","100","0","59","35","1","5","","","","4.33","5","0","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310495","","123326","2","","4/27/2000","5/3/2000","PCP","","S2-5-1: 0-12","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.1","","","","N","0.52","2.9","6.4","23","","","","","23","","","15","","","","12","345","780","224","154","2.3","161","44.5","3.5","1.0","7.3","100","0","51","25","12","12","","","","10.43","12","1.2","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310496","","123327","2","","4/27/2000","5/3/2000","PCP","","S2-5-2: 13-24","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","13-24","","","7.9","","","","N","0.6","0.7","4.8","16","","","","","16","","","6","","","","15","95","1140","322","215","0.1","42.4","32.5","2.0","0.6","9.6","100","0","53","28","3","16","","","","14.00","16","0","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310497","","123328","2","","4/27/2000","5/3/2000","PCP","","S2-5-3: 25-36","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","25-36","","","7.9","","","","N","0.66","0.3","0.6","2","","","","","2","","","6","","","","17","52","1240","429","223","0.1","42.3","31.4","1.8","0.3","10.9","100","0","52","33","1","14","","","","11.89","14","0","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310498","","123326","3","","4/27/2000","5/3/2000","PCP","","S3-5-1: 0-12","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.0","","","","N","1.24","2.7","5.9","21","","","","","21","","","15","","","","65","275","1180","142","97","1.3","82.5","30.0","2.5","1.1","8.2","100","0","73","14","9","4","","","","3.45","4","0","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310499","","123327","3","","4/27/2000","5/3/2000","PCP","","S3-5-2: 13-24","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","13-24","","","7.7","","","","N","1.26","1.1","2.8","9","","","","","9","","","9","","","","46","165","850","215","224","0.4","55.6","41.1","2.5","0.5","7.4","100","0","53","24","6","17","","","","14.36","17","0.6","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310500","","123328","3","","4/27/2000","5/3/2000","PCP","","S3-5-3: 25-36","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","25-36","","","8.1","","","","N","1.22","0.2","0.2","1","","","","","1","","","5","","","","40","57","950","376","361","0.1","48.0","54.0","2.5","0.3","9.6","100","0","46","33","2","19","","","","17.16","19","0","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310501","","123326","4","","4/27/2000","5/3/2000","PCP","","S4-5-1: 0-12","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","7.1","","","","N","0.48","2.9","5.6","20","","","","","20","","","32","","","","20","399","770","158","157","1.9","268","20.8","4.5","1.0","6.9","100","0","53","19","15","13","","","","10.99","13","0","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310502","","123327","4","","4/27/2000","5/3/2000","PCP","","S4-5-2: 13-24","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","13-24","","","8.0","","","","N","0.46","1.3","4.1","14","","","","","14","","","12","","","","12","189","1000","190","188","0.7","108","40.6","3.5","0.7","7.9","100","0","61","20","6","13","","","","11.10","13","0","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310503","","123328","4","","4/27/2000","5/3/2000","PCP","","S4-5-3: 25-36","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","25-36","","","8.1","","","","N","0.66","0.4","0.6","2","","","","","2","","","5","","","","14","52","1170","456","255","0.1","49.7","40.3","1.8","0.3","10.9","100","0","50","35","1","14","","","","12.16","14","0","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","042700","310504","","123329","1","","4/27/2000","5/3/2000","PCP","","S5-5-1: 0-12","DR MITCH JOHNS","","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","CHICO CA 95929-0310","0-12","","","6.7","6.9","","","N","1.26","5.7","1.3","5","","","","","5","","","11","","","","65","272","1370","156","82","2.8","137","44.1","3.0","1.3","10.2","90","10","68","13","7","2","","","","2.58","2","0","","","","","","","","","","","","","0.17","","","","","","","","","","","","","","","","","","","","","","","",""
