Account_Number,Batch_Number,Lab_Number,PosNo,Assoc_Number,Line_Number,Date_Sampled,Date_Received,Date_Reported,Grower,Field_ID,Sample_ID,Submitted_by,Company,Address_1,Address_2,City_State_Zip,Depth_1,Depth_2,Depth_3,Soil_pH,Buffer_pH,Lime_Legume_T_A,Lime_Non_T_A,Excess_Lime,Soluble_Salts,OM_pct,NO3_D1_ppm,NO3_D1_lbs_A,NO3_D2_ppm,NO3_D2_lbs_A,NO3_D3_ppm,NO3_D3_lbs_A,NO3_Total_lbs_A,NO3_Total_Depth,Bray_P1_ppm,Bicarb_P_ppm,Bray_P2_ppm,Mehlich2_P_ppm,Mehlich3_P_ppm,SO4_ppm,ExchK_ppm,ExchCa_ppm,ExchMg_ppm,ExchNa_ppm,Zn_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Boron_ppm,CEC_me_100g,Base_Sat_pct,H_Sat_pct,Ca_Sat_pct,Mg_Sat_pct,K_Sat_pct,Na_Sat_pct,SOL_Ca_me_L,SOL_Mg_me_L,SOL_Na_me_L,SAR,ESP,Gypsum_T_A,Sand_pct,Silt_pct,Clay_pct,Soil_Texture,Cl_D1_ppm,Cl_D1_lbs_A,Cl_D2_ppm,Cl_D2_lbs_A,Cl_Total_lbs_A,NH4_D1_ppm,NH4_D1_lbs_A,Al_ppm,Total_Nitrogen_pct,xCrop_Name,xCrop_Yield_Unit,xRec_N_lbs_A,xRec_P2O5_lbs_A,xRec_K2O_lbs_A,xRec_S_lbs_A,xRec_Zn_lbs_A,xRec_MgO_lbs_A,xRec_Fe_lbs_A,xRec_Mn_lbs_A,xRec_Cu_lbs_A,xRec_B_lbs_A,xRec_Cl_lbs_A,xRec_Lime_T_A,HM_As_ppm,HM_Ba_ppm,HM_Cd_ppm,HM_Cr_ppm,HM_Co_ppm,HM_Pb_ppm,HM_Mo_ppm,HM_Ni_ppm,HM_Se_ppm,HM_Ag_ppm
42150,61202,397493,,164396,1,,6/12/2002,6/14/2002,PCP 4/12/02,,F2 12,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-12,,,8.2,,,,N,0.66,2.1,12.7,46,,,,,46,,,27,,,,11,557,920,232,531,3.4,67.2,32.1,3.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397494,,164397,1,,6/12/2002,6/14/2002,PCP 4/12/02,,F2 24,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-24,,,8.2,,,,N,0.48,0.9,11.8,85,,,,,85,,,9,,,,12,235,1030,248,693,1.1,34.7,23.9,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397495,,164398,1,,6/12/2002,6/14/2002,PCP 4/12/02,,F2 36,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-36,,,8.3,,,,N,0.54,0.6,6.4,69,,,,,69,,,3,,,,13,100,1400,412,588,0.4,18,14.6,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397496,,164399,1,,6/12/2002,6/14/2002,PCP 4/12/02,,F2 48,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-48,,,8.2,,,,N,0.54,0.5,5.4,78,,,,,78,,,3,,,,11,72,1510,494,490,0.2,16.6,13.9,1.4,0.9,14,100,0,55,29,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397497,,164396,2,,6/12/2002,6/14/2002,PCP 4/12/02,,F3 12,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-12,,,7.7,,,,N,0.72,3.4,29.1,105,,,,,105,,,14,,,,22,469,940,262,549,3,131,37.9,4.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397498,,164397,2,,6/12/2002,6/14/2002,PCP 4/12/02,,F3 24,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-24,,,8.5,,,,N,0.84,0.9,7.9,57,,,,,57,,,7,,,,23,136,1140,305,708,0.5,31.6,27.2,2.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397499,,164398,2,,6/12/2002,6/14/2002,PCP 4/12/02,,F3 36,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-36,,,8.6,,,,N,0.74,0.6,4.7,51,,,,,51,,,5,,,,20,74,1260,407,775,0.2,22.3,13.2,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397500,,164399,2,,6/12/2002,6/14/2002,PCP 4/12/02,,F3 48,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-48,,,8.5,,,,N,0.54,0.4,1.4,20,,,,,20,,,5,,,,14,64,1190,405,614,0.1,20.7,11.1,1.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397501,,164396,3,,6/12/2002,6/14/2002,PCP 4/12/02,,F4 12,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-12,,,8.1,,,,N,0.92,1,26.4,95,,,,,95,,,12,,,,41,322,970,186,390,1.5,37.6,17.2,2.6,1.3,8.9,100,0,55,17,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42150,61202,397502,,164397,3,,6/12/2002,6/14/2002,PCP 4/12/02,,F4 24,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-24,,,8.6,,,,N,0.74,0.5,6.3,45,,,,,45,,,8,,,,28,125,1030,246,602,0.6,39.5,26.7,2.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
