"Account_Number","Batch_Number","Lab_Number","PosNo","Assoc_Number","Line_Number","Date_Sampled","Date_Received","Date_Reported","Grower","Field_ID","Sample_ID","Submitted_by","Company","Address_1","Address_2","City_State_Zip","Depth_1","Depth_2","Depth_3","Soil_pH","Buffer_pH","Lime_Legume_T_A","Lime_Non_T_A","Excess_Lime","Soluble_Salts","OM_pct","NO3_D1_ppm","NO3_D1_lbs_A","NO3_D2_ppm","NO3_D2_lbs_A","NO3_D3_ppm","NO3_D3_lbs_A","NO3_Total_lbs_A","NO3_Total_Depth","Bray_P1_ppm","Bicarb_P_ppm","Bray_P2_ppm","Mehlich2_P_ppm","Mehlich3_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","Base_Sat_pct","H_Sat_pct","Ca_Sat_pct","Mg_Sat_pct","K_Sat_pct","Na_Sat_pct","SOL_Ca_me_L","SOL_Mg_me_L","SOL_Na_me_L","SAR","ESP","Gypsum_T_A","Sand_pct","Silt_pct","Clay_pct","Soil_Texture","Cl_D1_ppm","Cl_D1_lbs_A","Cl_D2_ppm","Cl_D2_lbs_A","Cl_Total_lbs_A","NH4_D1_ppm","NH4_D1_lbs_A","Al_ppm","Total_Nitrogen_pct","xCrop_Name","xCrop_Yield_Unit","xRec_N_lbs_A","xRec_P2O5_lbs_A","xRec_K2O_lbs_A","xRec_S_lbs_A","xRec_Zn_lbs_A","xRec_MgO_lbs_A","xRec_Fe_lbs_A","xRec_Mn_lbs_A","xRec_Cu_lbs_A","xRec_B_lbs_A","xRec_Cl_lbs_A","xRec_Lime_T_A","HM_As_ppm","HM_Ba_ppm","HM_Cd_ppm","HM_Cr_ppm","HM_Co_ppm","HM_Pb_ppm","HM_Mo_ppm","HM_Ni_ppm","HM_Se_ppm","HM_Ag_ppm"
"42150","080307","708333","2","708333","1","","8/3/2007","8/7/2007","PCP PALERMO CA","F2-1","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","0-12","","","7.3","","","","N","1.50","3.8","8.4","30","","","","","30","12","","56","","","","59","493","1950","110","78","2.9","203.0","230.0","2.7","","12.3","100","0","80","7","10","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708334","3","708333","2","","8/3/2007","8/7/2007","PCP PALERMO CA","F2-2","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","13-24","","","7.6","","","","N","1.18","2.8","2.0","7","","","","","","","","38","","","","64","472","1450","100","102","1.2","193.0","261.0","2.0","","9.7","100","0","74","9","12","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708335","4","708333","3","","8/3/2007","8/7/2007","PCP PALERMO CA","F2-3","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","25-36","","","8.1","","","","N","1.42","1.1","1.5","5","","","","","","","","10","","","","66","87","1440","344","882","0.2","20.8","14.6","0.7","","14.1","100","0","51","20","2","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708336","5","708333","4","","8/3/2007","8/7/2007","PCP PALERMO CA","F2-4","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","37-48","","","8.2","","","","N","1.36","1.0","1.0","3","","","","","","","","9","","","","62","72","1410","350","908","0.2","20.0","11.8","1.3","","14.1","100","0","50","21","1","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708337","6","708333","5","","8/3/2007","8/7/2007","PCP PALERMO CA","F3-1","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","0-12","","","7.8","","","","N","0.86","1.6","3.6","13","","","","","13","12","","8","","","","21","325","1230","275","473","0.5","22.6","12.6","2.1","","11.3","100","0","55","20","7","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708338","7","708333","6","","8/3/2007","8/7/2007","PCP PALERMO CA","F3-2","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","13-24","","","7.8","","","","N","0.90","1.6","3.3","11","","","","","","","","9","","","","25","189","1430","319","690","0.3","21.1","10.6","1.5","","13.3","100","0","53","20","4","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708339","8","708339","1","","8/3/2007","8/7/2007","PCP PALERMO CA","F3-3","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","25-36","","","8.1","","","","N","1.28","1.4","1.6","5","","","","","","","","16","","","","41","100","1730","520","987","0.1","32.4","14.2","0.8","","17.5","100","0","49","25","1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708340","9","708339","2","","8/3/2007","8/7/2007","PCP PALERMO CA","F3-4","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","37-48","","","8.2","","","","N","0.92","1.1","0.5","2","","","","","","","","4","","","","38","75","1870","748","1134","0.2","54.6","28.8","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708341","10","708339","3","","8/3/2007","8/7/2007","PCP PALERMO CA","F4-1","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","0-12","","","8.3","","","","N","0.86","1.2","4.1","15","","","","","15","12","","9","","","","10","333","1370","194","437","0.3","64.0","36.5","2.4","","11.2","100","0","61","14","8","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42150","080307","708342","11","708339","4","","8/3/2007","8/7/2007","PCP PALERMO CA","F4-2","","MITCH JOHNS","COLLEGE OF AGRICULTURE","CALIFORNIA ST UNIVERSITY-CHICO","","CHICO CA  95929 0310","13-24","","","8.2","","","","N","1.22","1.5","5.9","19","","","","","","","","15","","","","13","405","1350","176","363","0.7","44.4","17.2","2.4","","10.8","100","0","61","14","10","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
